event,owner,liquidated,first_liq,block_label,block_time,health_factor
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h66,,1.1921
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h72,,1.1812
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h78,,1.2037
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h84,,1.1872
aave-aug24,0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,true,2024-08-05T01:17:09.000Z,h90,,1.1369
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h00,,0.9682
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h06,,0.9691
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h12,,0.9692
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h18,,0.9326
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h24,,0.9312
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h30,,0.8593
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h36,,0.8557
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h42,,0.8916
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h48,,0.8814
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h54,,0.9014
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h60,,0.8889
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h66,,0.8938
aave-aug24,0x1976200a977f8071ec6773af14e45019db99083c,true,2024-08-07T13:33:17.000Z,h72,,0.8895
