protocol,event,owner,first_liq
moonwell,Aug-2024,0x14eb793a591a2e6738e5ffc1e0405dd6ef0bfbf0,2024-08-04T23:39:03.000Z
moonwell,Aug-2024,0x9834e9da813658728e89409666f2e8e69ebe3860,2024-08-04T02:08:41.000Z
moonwell,Aug-2024,0xa86693888186c3f4632f7ef237ef61c68e983443,2024-08-05T01:18:29.000Z
moonwell,Aug-2024,0xf95e8ed1b61e2ef2e36c8e139166f5c0faa94bcb,2024-08-04T01:46:37.000Z
moonwell,Aug-2024,0x0069143987beb555644a059bd52cc31d87049ec9,2024-08-04T23:40:57.000Z
moonwell,Aug-2024,0x31dd9006530a0b0840472bbe0f80d04e8b1ded29,2024-08-05T01:18:21.000Z
moonwell,Aug-2024,0x8819de9afeeaf113c2fd3c14bcde4d2c9d1efa4a,2024-08-04T01:37:13.000Z
moonwell,Aug-2024,0xcbde323a6a0e441c580ee6fbf1edd6f61e693ace,2024-08-05T03:48:19.000Z
moonwell,Aug-2024,0x697366d9617e651a930fb6c03df1f7a7982f2e8e,2024-08-04T21:11:43.000Z
moonwell,Aug-2024,0x3f4ede810f4a9bc31af56ee3e325848a33f033cf,2024-08-07T14:40:19.000Z
moonwell,Aug-2024,0xf591a317be978d0fad001cafbf965b9234151ab7,2024-08-07T23:53:45.000Z
moonwell,Aug-2024,0xa248851cf7c5413c2367389463ec8ff6faa0b60c,2024-08-04T23:53:21.000Z
moonwell,Aug-2024,0x80a22198caa3b3409f489ca3179c159e93e574c1,2024-08-05T00:38:53.000Z
moonwell,Aug-2024,0xff0b57657588582e86778d23f4c95c66247e5a7f,2024-08-04T21:35:05.000Z
moonwell,Aug-2024,0xd9617f5f9fc92c04047b5ec4a3c04b84603de924,2024-08-04T01:29:53.000Z
moonwell,Aug-2024,0x4e972c7d9f239f8c47dc04571663f54fb54e29d8,2024-08-05T00:56:21.000Z
moonwell,Aug-2024,0xb73a62fd2952ed68243cbd338a1205a0cd68d300,2024-08-04T17:37:39.000Z
moonwell,Aug-2024,0x3a8f09cde2235013266805823049a84eb16f5854,2024-08-05T03:33:11.000Z
moonwell,Aug-2024,0xc4d8e206db8e34c3879352ddcd531f6576f0fa90,2024-08-04T23:54:59.000Z
moonwell,Aug-2024,0x749ccbb63cbe9855531b0297f57feb2360352e1b,2024-08-05T01:17:15.000Z
moonwell,Aug-2024,0x4421f8f8dc5b5801d9f53023d086cea05ff50cf6,2024-08-05T01:18:29.000Z
moonwell,Aug-2024,0x476271caea9db55a645ad498ad1fe6793dbeb601,2024-08-04T17:10:09.000Z
moonwell,Aug-2024,0x6ac8ff02b54df257f1117f28b60fe846f8f4bd0d,2024-08-06T03:51:19.000Z
moonwell,Aug-2024,0xf7dda12c2bda7bcb0332230b5109439bab318196,2024-08-05T10:16:47.000Z
moonwell,Aug-2024,0xa0d7c9ee586e2a052f916e7daca967ba6045206b,2024-08-06T03:52:29.000Z
moonwell,Aug-2024,0x0ccc170b9a2f0177996b0d1540c7d9f47dce3f4b,2024-08-05T00:58:23.000Z
moonwell,Aug-2024,0xe359bc608bd01074f380214ec281ffad0204d2e6,2024-08-04T17:28:23.000Z
moonwell,Aug-2024,0x576a8612c373a0f7fc7ba01b136ebf6fe9346d1e,2024-08-04T21:45:17.000Z
moonwell,Aug-2024,0x8253edfaf6b85f7276e3050c7789938e4b9fffdf,2024-08-05T10:16:47.000Z
moonwell,Aug-2024,0x753a7fc83389534a172143cc53ea1ada84e7444f,2024-08-05T00:55:25.000Z
moonwell,Aug-2024,0x15a6f4838f26dcd66addb453f091685dc1728d89,2024-08-05T01:18:37.000Z
moonwell,Aug-2024,0x2c58b59b1578d749a70d3d081cc08d032dfce5d0,2024-08-06T03:52:23.000Z
moonwell,Aug-2024,0xe2a51cdc23921f9c631c75269cb36106d35b98d2,2024-08-04T22:12:41.000Z
moonwell,Aug-2024,0x82448b2a3e074f274c326df99c0dd39e005bae11,2024-08-06T03:54:23.000Z
moonwell,Aug-2024,0x073b74887bdb9da8f3bec0ae87a5f9b6c1c70c74,2024-08-04T17:10:37.000Z
moonwell,Aug-2024,0xe1fb6bea15d8f6ed62e4962131fd8f6ba0d5cd5a,2024-08-05T01:08:35.000Z
moonwell,Aug-2024,0xc6c9302bf2ef7f53a642e0e73aa8039c0ab402af,2024-08-06T14:32:41.000Z
moonwell,Aug-2024,0xe442527f413cfcf1f7251b43a93985514ed06fcc,2024-08-04T21:44:17.000Z
moonwell,Aug-2024,0xeda5bf3bdd6533b551f51cf942f48052c13b7e91,2024-08-07T21:48:37.000Z
moonwell,Aug-2024,0x515c44cabc42e4952d1ee32719978e7217ff689e,2024-08-05T01:18:39.000Z
moonwell,Aug-2024,0xb597451e9445db90cbb1fa6621e66daed6dee7a5,2024-08-06T04:23:51.000Z
